,bathrooms,bedrooms,rooms_total,building_size,car_spaces,category,furnished,location,land_size,price,id,subcategory,year_built,description,link
0,7,3,unknown,896,16,casa,,"[-99.20628,19.32237]",1198,45100000,HO611C298F6DFC8MX,"[""casa"",""casa-unifamiliar""]",unknown,"Casa con acabados de lujo, con un estilo moderno:  -1198m2 de terreno -896m2 de construcción -Casa distribuida en 3 plantas -3 recámaras cada una con baño y estidor -7 baños completos en total -Sala-comedor con excelente distribución -Salón de eentos -Estudio -Sala de T -Cocina totalmente equipada de lujo -Baño sauna -Jardín en excelentes condiciones -Cuarto de sericio -16 lugares de estacionamiento -La casa cuenta con calefacción, pisos de mármol y madera y celdas solares.   Una casa única, con acabados de lujo y estado de conseración excelente.PRECIO EN USD (2,250,000.00 USD)",https://www.lamudi.com.mx/se-vende-casa-en-jardines-del-pedregal-7.html
1,2,3,unknown,345,3,casa,,"[-99.06441,19.46861]",227,4250000,HO611D610A06922MX,"[""casa"",""casa-unifamiliar""]",unknown,"Casa en san Juan de Aragón sexta sección, de 345 metros de construcción y 227 metros de terreno, ubicada en esquina y frente al parque; consta de 3 recámaras con closets, estudio, estancia sala comedor, cocina, dos baños, patio trasero, 3 lugares de estacionamiento, área de lavado, bodega, cisterna. Su precio de $4,250,000 a tratar y se escuchan ofertas serias. La casa es para actualizar con excelentes espacios y muy luminosa. Citas para mostrarla cualquier día incluidos fines de semana con previa cita a Inmobiliaria Kalog al  también contestamos WhatsApp, trabajamos los 365 días del año con previa cita.",https://www.lamudi.com.mx/casa-en-san-juan-de-aragon-sexta-seccion-3-recamaras.html
2,3,3,unknown,600,5,casa,,"[-99.2977,19.34711]",328,17800000,HO5FDC2A098BEB9MX,"[""casa"",""casa-en-condominio""]",unknown,"Increíble casa en conjunto con vigilancia. Prácticamente nueva, rediseñada y decorada con excelente gusto.despensas y anaqueles nuevos, de lujo, con todo el espacio para guardar.estudio con escritorio integrado. 3 recámaras, todas con grandes espacios, con vestidor y baño cada una.el piso de arriba, es un área cerrada de 100m2, con baño y terraza con pérgola. Ideal como salón, área de juegos o de trabajo.totalmente equipada. Calefacción con piso radiante y reguladores independientes en cada habitación.toda la casa fué impermeabilizada desde los cimientos (tipo alberca), para evitar humedades, cisterna, calentador solar, filtros de agua, doble tinaco, regulador de picos.",https://www.lamudi.com.mx/increible-casa-en-contadero-como-nueva-de-disenadora.html
3,3,3,unknown,211,3,casa,,"[-99.1705,19.36145]",272,11900000,HO611ED0665E394MX,"[""casa"",""casa-unifamiliar""]",unknown,Casa de 2 niveles Garage amplio para 3 autos Estancia comedor medio baño Cocina integral Patio trasero cuarto de servicio 3 amplias recámaras estudio 2 baños completos   Sujeta de crédito y contado  Citas con 24 horas de anticopación Vialidades Río Churubusco y Av. México,https://www.lamudi.com.mx/bonita-casa-en-del-carmen-coyoacan-1.html
4,7,4,11,1900,21,casa,,"[-99.250223,19.4051222]",1557,38900000,HO61161DB802E26MX,"[""casa"",""casa-unifamiliar""]",2021,"Extraordinaria residencia de 1557 m2 de terreno y 1900 m2 de construcción. Terreno plano y con acceso por dos calles de estilo contemporáneo en excelente estado de conservación y magníficos acabados de madera y mármoles de importación. En el primer nivel: Consta de 3 salas con chimenea, terraza cerrada, biblioteca con chimenea, bar con cava, 2 baños  de visitas, comedor, cocina, antecomedor, pantry y alacena. En el área exterior cuenta con caseta de vigilancia para 6 automóviles. El segundo nivel consta de 3 recamaras con baño y vestidor cada una. La recamara principal cuenta con baño con jacuzzi y dos vestidores. Sala de Tv con chimenea y balcón. El primer nivel descendente consta de alberca techada, gimnasio, baños para hombres y mujeres, cuarto de juegos, vapor y sauna, bodega y dos cuartos de servicio. Jardín plano de 250 m2 superficie, terraza y kiosko. El segundo nivel descendente consta de un área de usos múltiples y estacionamiento para 15 automóviles que el acceso es por la calle de atrás. EasyBroker ID: EB-IF3362",https://www.lamudi.com.mx/rematamos-hermosa-residencia-a-precio-de-terreno-en-bosques-de-las-lomas.html
5,2.5,3,unknown,170,2,casa,,"[-99.2894266,19.3604309]",100,4150000,HO610BF9D6AAC32MX,"[""casa"",""casa-en-condominio""]",unknown,"Completísima casa de tres recámaras, 2.5wc., 2 estacionamientos Súper bien mantenida y renovada Caminando a centros comerciales, escuelas, al parque..., a un paso de Santa Fe, Bosques, Interlomas. Recámara principal enorme con gran vestidor. Luminosa y práctica ¡Conózcala!",https://www.lamudi.com.mx/ubicadisima-casa-muy-completa-y-renovada-en-condominio-super-precio.html
6,2,unknown,2,320,unknown,casa,,"[-99.1409995034,19.3011202115]",96,8850000,HO611CB1B1ECB82MX,"[""casa"",""casa-unifamiliar""]",2003,"Gran oportunidad, casa en cuatro pisos a espaldas del Colegio México, y a dos cuadras de Paseo Acoxpa, Hospital Angeles y del FUCAM. Ideal para AIR B&B. O consultorios , En la planta que da a la calle son 4 locales comerciales cada uno con medio baño que pueden ser estacionamientos  En el PRIMER PISO son 4 locales / oficina /o recamaras  con 1 medio baño común y 1 baño completo común y cocina En el SEGUNDO PISO son 4 locales /oficinas/ o recamaras,  con 1 medio baño común En el TERCER PISO se encuentra un departamento completo con 2 recamaras roof y baño completo. EasyBroker ID: EB-IG3549",https://www.lamudi.com.mx/casa-en-venta-con-comercios-en-santa-ursula-coapa-2.html
7,2,3,unknown,180,2,casa,,"[-99.25103,19.35026]",200,6900000,HO611EF6341D1E7MX,"[""casa"",""casa-en-condominio""]",unknown,"Extraoridnaria casa en venta en residencial tarango, alvaro obregon, en condominio horizontal, seguridad las 24 hr. Sobre av. Centenario, a 5 min. De santa fe, tec de monterrey, en un ambiente muy seguro, la casa consta de 200 m2 de terreno, 180 m2 de cosntruccion, 3 recamaras, dos baños, estancia con chimenea, comedor y cocina integral, patio trasero como terraza, cuarto de servicio con baño, cto. De lavado, bodega en azotea, dos lugares de estacionamiento, jardin para eventos, lista para habitar, se acepta cualquier credito.",https://www.lamudi.com.mx/casa-en-venta-alvaro-obregon-residencial-tarango.html
8,2.5,3,unknown,125,2,casa,,"[-99.23219,19.34179]",162,4850000,HO611D2F9D3BF56MX,"[""casa"",""casa-en-condominio""]",unknown,"Hermosa casa en condominio a una cuadra de Desierto de los leones, cuenta con 2 plantas; en el piso superior se ubican 2 recámaras y un family room (puede ser la 3 habitación), 2 baños completos. En la planta baja se ubica una amplia estancia con medio baño de visitas, el comedor y la sala, desde donde se ven hermosas vistas al jardin. La cocina es de muy buen tamaño y con isla imtegrada. Además del encantador jardín cuenta con 2 lugares de estacionamiento. El condominio tiene vigilancia las 24 horas y circuito cerrado. Goza la tranquilidad del silencio y estar rodeado de arboles.",https://www.lamudi.com.mx/hermosa-casa-en-tetelpan.html
9,4,4,8,876,4,casa,,"[-99.2039725,19.3006043]",465,29900000,HO611CB1F7E4584MX,"[""casa"",""casa-unifamiliar""]",2021,"- vestíbulo recibidor,  baño y closet de visitas.  - sala, comedor, estudio o biblioteca y sala de televisión. - cocina integral con alacena, barra y antecomedor. - salón de juegos con barra-cantina, 2 medios baños y cava. - gimnasio con vapor y baño con tina jacuzzy.   - 1 recámara principal con vestidor muy amplio y baño con jacuzzy. - 1 recámara con baño y vestidor.  - 2 recámaras con closet cada una y un baño - 2 cuartos de servicio con baño cada uno y cuarto de lavado. - garage para 4 autos (2 cubiertos), bodega y cuarto de herramientas. - jardín con asador de carnes que se integra al salón de juegos. EasyBroker ID: EB-IG0941",https://www.lamudi.com.mx/en-venta-y-renta-hermosa-residencia-con-amplios-espacios.html
10,4,4,unknown,562,3,casa,,"[-99.20628,19.32237]",819,26500000,HO611D60FA81DC3MX,"[""casa"",""casa-unifamiliar""]",unknown,"Casa en una sola planta, departamento independiente",https://www.lamudi.com.mx/hermosa-casa-en-calle-cerrada-2.html
11,5,5,unknown,700,2,casa,,"[-99.12471,19.27523]",320,9500000,HO611E75525DA3AMX,"[""casa"",""townhouse""]",unknown,3 niveles 5 recamaras con baño Sala-comedor Family Room Cocina integral y antecomedo Cuarto de servicio con baño,https://www.lamudi.com.mx/amplia-casa-con-alberca-climatizada-y-cubiculos-para-consultorios.html
12,4,3,7,304,3,casa,,"[-99.2406481,19.3087001]",144,6990000,HO6116155C60758MX,"[""casa"",""casa-en-condominio""]",2013,"CUENTA CON RECIBIDOR, ESTANCIA AMPLIA CON CHIMENEA,  COMEDOR, COCINA GRANDE CON ANTECOMEDOR, MEDIO BAÑO DE VISITAS Y UN PEQUEÑO PATIO ENTRE LA COCINA Y EL COMEDOR.  3 RECAMARAS CON BAÑO COMPLETO, LA PRINCIPAL CON VESTIDOR Y CHIMENEA. CUENTA CON UN ESTUDIO ESTUDIO, ÁREA DE LAVADO INTEGRADA CON PATIO  DE TENDIDO Y TIENE UN AMPLIO CUARTO DE SERVICIO EN EL QUE SE PUEDE ENTRAR DE MANERA INDEPENDIENTE A LA ENTRADA PRINCIPAL DE LA CASA.EN EL ROOF GARDEN SE PUEDE PONER UNA PERGOLA,CUENTA CON PANELES SOLARES, 4 CAJONES DE ESTACIONAMIENTO Y 2 BODEGAS. EL JARDIN ES COMÚN. EasyBroker ID: EB-IF5462",https://www.lamudi.com.mx/san-jeronimo-aculco-excelente-casa-en-condominio.html
13,2.5,3,unknown,198,4,casa,,"[-99.19606,19.36547]",160,6600000,HO611F0B9E30076MX,"[""casa"",""casa-unifamiliar""]",unknown,"Casa Muy bien ubicada, cerca de Barranca del Muerto y Periferico Acceso por 2 calles 3 recamaras Sotano Sala-comedor Cuarto de servicio con baño Desapcho y Sala de TV",https://www.lamudi.com.mx/excelente-propiedad-para-desarrolladores-o-para-remodelar.html
14,3,3,unknown,222,2,casa,,"[-99.230041281016,19.331831503721]",153,5990000,HO6115E92B56BE0MX,"[""casa"",""townhouse""]",2010,"Espectacular casa en venta en calle cerrada con seguridad 24/7, roof garden y en zona tranquila. Excelente ubicación al sur de la ciudad con facilidad para ir hacia periférico sur o Santa Fe. A unos minutos del Club Libanés y de la Universidad Anáhuac Sur. La casa está construida en 3 niveles y recién remodelada. A pie de la estancia principal hay un jardín que, aunque es área común de 4 casas, se puede aprovechar mucho mejor desde ésta. En PB tiene sala comedor, una pequeña terraza, bodega y medio baño de visitas. En el primer nivel la recámara principal con vestidor y baño completo, además de la sala de TV. En el tercer nivel hay 2 recámaras que comparten un baño completo y un área de servicio con otro baño completo más. Por último, la casa tiene un roof garden con una vista espectacular. Al sur de la casa hay un parque ecológico (área federal) por lo que en este hogar se disfruta la vista arbolada y mucha tranquilidad. En renta ya incluya mantenimiento. ¡Ven a conocerla!",https://www.lamudi.com.mx/casa-remodelada-en-calle-privada-venta-o-renta.html
15,2,4,6,150,1,casa,,"[-99.0623461,19.3318561]",60,2400000,HO60E172E3AB72FMX,"[""casa"",""casa-unifamiliar""]",2021,"Casa en Venta, Remodelada. Excelentes acabados con una antigüedad de 5 años.Ubicada en Calle Anastasio Bustamante No. 57, Colonia Presidentes de México, Iztapalapa. Cuenta con: 4 recámaras con closet Construída a dos niveles  Bonita cocina integral 2 baños completos + 1 medio baño Cuarto de servicio Sala / comedor  Piso de loseta  Terraza techada Jaula de tendido  Cisterna / 2 tinacos ( sin problemas de agua) Vigilancia  1 lugar de estacionamiento. Avenidas principales; Periférico, Iztaccíhuatl, a 10 minutos de Metro Constitución. Aceptamos créditos; preguntar alternativas. Mayor información y citas al 56 1861 1342. EasyBroker ID: EB-HX0801",https://www.lamudi.com.mx/casa-presidentes-de-mexico-en-venta.html
16,3,4,7,462,4,casa,,"[-99.16688,19.34015]",222,13850000,HO605BD96644CF6MX,"[""casa"",""casa-unifamiliar""]",1959,"Nocnok ID: MX19-HI2905. TERRENO: 222 METROS 2  CONSTRUCCION: 462  METROS 2   EDAD: 60 AÑOS   ORIENTACION: HACIA EL ESTENIVEL CALLE ESTACIONAMIENTO PARA CUATRO AUTOS   JARDÍN TRASERO DE APROXIMADAMENTE 50 M2  AMPLIA BODEGA.PLANTA BAJA BAÑO COMPLETO DE VISITAS   SALA CON CHIMENEA Y AMPLIO VENTANAL HACIA EL JARDÍN.  COMEDOR CON VENTANAL HACIA EL ÁREA DEL JARDÍN.  COCINA CON AMPLIA ALACENA Y ANTECOMEDORPRIMER PISO  CUATRO RECÁMARAS  LA PRINCIPAL CON BAÑO COMPLETO Y UN GRAN CLOSET.   LAS OTRAS TRES RECÁMARAS CON CLOSET DE PARED A PARED    BAÑO COMPLETO COMPARTIDO PARA LAS TRES RECÁMARAS. AZOTEA           CUARTO DE SERVICIO CON BAÑO  ÁREA DE LAVADO.   LAVADERO Y ESPACIO DE TENDIDOCasa construida en tres niveles: Nivel calle: Estacionamiento para 4 autos, amplia bodega y jardín trasero de alrededor de 40 m2. Planta baja: Recibidor, baño completo, sala con chimenea, comedor, cocina integral de buen tamaño con área de antecomedor y amplia alacena Primer piso: 4 recámaras, la principal con baño completo, las otras 3 recámaras comparten baño. Azotea: Amplio cuarto de servicio con baño completo. Estátus jurídico: Libre de gravamen.ADVERTENCIA:  Recuerda que nunca debes dar un anticipo sin validar que esta publicación sea legítima. NOCNOK no se hace responsable por la información contenida en los anuncios publicados por los usuarios a través de su sistema nocnok.com.",https://www.lamudi.com.mx/casa-en-venta-en-romero-de-terreros-9.html
17,3,4,7,382,2,casa,,"[-99.1857945,19.2895201]",250,9900000,HO5FA627D020F16MX,"[""casa"",""casa-en-condominio""]",2021,"Linda casa en condominio en calle cerrada con doble caseta de seguridad, 3 recámaras, la principal con doble vestidor y baño. 2a y 3a recámara con buenos closets, comparten baño completo. Sala, comedor, cocina integral, antecomedor, en el sótano se encuentra un salón de fiestas, cuarto de tele, baño completo, gimnasio y una 4a recámara con vestidor.   Hermosa terraza con pared de piedra. Baño de visitas, despacho, jardín común y 2 lugares de estacionamiento. A 5 minutos de Periférico, atrás del Bosque de Tlalpan. EasyBroker ID: EB-GB5379",https://www.lamudi.com.mx/tlalpan-hermosa-casa-en-condominio-con-linda-terraza-y-jardin-comun.html
18,2,3,5,220,1,casa,,"[-99.1788142,19.4150657]",121,12950000,HO60E8139117C1FMX,"[""casa"",""casa-unifamiliar""]",2021,"PB: En la parte de la entrada, lo que antes era la sala lo convirtieron en un pequeño negocio, tiene opción de que se vuelva a hacer sala. Sala comedor con pisos de porcelanato, ventanales amplios de piso a techo que dan acceso a un pequeño patio con solar y una fuente, y permite entrar una excelente iluminación  Cocina Integral, grande con espacio para un antecomedor para 4 personas, da acceso al cuarto de lavado y a las escaleras, que suben a la terraza.PA: Cuenta con  3 recamaras, la 1era recamara puede ser ocupada como family Room o recamara, se puede adaptar un closet, la 2da recamara tiene closet, ambas recamaras comparten un baño completo y actualizado con excelentes espacios, la recamara principal es muy amplia ya que cuenta con oficina con entrada independiente, vestidor, closet y baño completo actualizado , de acuerdo a sus necesidades se pueden aprovechar los espacios para una 4ta recamara. Las dos recamaras secundarias tienen vista hacia la calle, ventanas con doble cristal El techo tiene calentador solar tinaco bodega  amplia,  3.5 de largo 2 de ancho garaje para 1 auto, bodega debajo de la escalera. EasyBroker ID: EB-HX5177",https://www.lamudi.com.mx/hermosa-casa-en-venta-con-accesoria-local-comercial.html
19,4,3,unknown,177,2,casa,,"[-99.14762,19.289809]",103,5100000,HO611B2B44889BEMX,"[""casa"",""casa-unifamiliar""]",unknown,"Ubicada frente a la estación del Tren Ligero Xomali, a 5 min de Zona de Hospitales Esta casa esta distribuida de la siguiente forma: Planta baja - Sala - Comedor - Cocina integral - Antecomedor - Medio Baño - 2 estacionamientos Primer niel - 2 recámaras con closet - Baño completo - Cuarto de juegos (Sala de T.) Segundo niel - Recámara principal con estidor integrado y baño completo independiente - Estudio - Balcón Tercer niel - Cuarto de sericio con baño completo - Área de laado - Área de tendido Especificaciones - Acabados de ceramica y cantera - Puertas y closet´s de madera - Portón de acceso automático - Gas estacionario - 103 m2 de terreno - 177 m2 construidos Ubicación - El entorno y contexto del que goza esta zona es muy priilegiada, inmediata a la zona de hospitales del sur de la CDMX, ialidades primarias y ariedad de centros comerciales cercanos, la zona sur de Coapa es una inmejorable ubicación! - ías de comunicación inmediatas: Calz. México Xochimilco, iaducto Tlalpan y Anillo periférico Sur - Sericios públicos y priados de salud cercanos, así como todos los nieles de educación publica y priada - Cercanía inmediata al complejo médico Zona de Hospitales de la CDMX, con todas las especializaciones que brindan - En oferta académica el Tecnológico de Monterrey Campus Ciudad de México se encuentra a 5 min. y la UNAM tienen una cercanía de 15 min. también se encuentran muy cerca la UM Campus Tlalpan y la ESCA Tepepan del IPN - Perisur, Gran Sur, Gran Terraza de Acoxpa, Paseo Acoxpa, son algunas plazas muy cercanas, además de supermercados cercanos - Zona dotada de todo el equipamiento e infraestructura urbana - Una excelente opción de compra , aceptamos todos los créditos, EN A CONOCERLA!!",https://www.lamudi.com.mx/casa-en-venta-en-frente-al-inr-tlalpan.html
20,6,4,unknown,300,2,casa,,"[-99.115642902486,19.464564613096]",126,4970000,HO610463BE4CDB4MX,"[""casa"",""casa-unifamiliar""]",unknown,"Amplia casa muy iluminada y conservada en excelente buena ubicación.  126 m2 terreno 300 m2 de construcción 20 años de antigüedad Cisterna Calentador solar de 21 celdas Gas estacionario 2 lugares de estacionamiento  Planta Baja Oficina Sala Comedor Cocina Cantina Medio Baño  Primer Nivel Recamara Principal con amplio closet y baño con jacuzzi 2 recamaras con closet Baño completo con tina Estudio  Segundo Nivel Recamara con closet y baño Terraza Cuarto de servicio con baño  Tercer Nivel Área de Lavado y tendido Medio baño Chapoteadero  4 recamaras 4 baños completos 2 medios baños 2 lugares de estacionamiento  Forma de pago Se aceptan créditos bancarios e Infonvit  Condiciones Se aparta con $50,000.00 15% Enganche 85% Escrituras",https://www.lamudi.com.mx/amplia-casa-en-venta-en-tablas-de-san-agustin-gam-4-970-000-00.html
21,3,4,unknown,281,3,casa,,"[-99.12415,19.34585]",234,1350000,HO60FCBDA7AF782MX,"[""casa"",""casa-unifamiliar""]",unknown,"HERMOSA CASA NUEVA EN PASEOS TAXQUEÑA PRECIO $1,350,000.00 ALTA PLUSVALIA CUENTA CON LO SIGUIENTE: COCINA INTEGRAL TOTALMENTE EQUIPADA DESAYUNADOR SALA - COMEDOR. 4 HERMOSAS HABITACIONES TODAS CON CLOSET BAÑO PRINCIPAL CUENTA CON JAKUZZI 3 BAÑOS TOTALMENTE EQUIPADOS 1 MEDIO BAÑO PARA VISITAS CUARTO DE SERVICIO UNA BODEGA CISTERNA DE 15 MIL LITROS 3 LUGARES DE ESTACIONAMIENTO SISTEMA DE SEGURIDAD. EXCELENTE UBICACION ESCUELAS CENTROS COMERCIALES BANCOS CERCA DE PARQUE MASAYOSHI OHIRA PAGO SOLO DE CONTADO!!  EN DOS EXHIBICIONES!!  Pago inicial $ 410,000.00 Segundo pago $ 940.000.00 Costo Total $ 1,350.000.00 Valor Comercial $ 5,500,000.00  NO SE ACEPTA NINGÚN TIPO DE CRÉDITO, SOLO PAGOS DE CONTADO.     CONTACTAME, SOLICITA MAS INFORMACION",https://www.lamudi.com.mx/impresionante-casa-en-remate-bancario-adjudicada-en-paseos-taxquena.html
22,2,4,unknown,110,1,casa,,"[-99.12407,19.29062]",90,2800000,HO604D17E77118EMX,"[""casa"",""casa-unifamiliar""]",unknown,"Bonita y cómoda casa en andador, muy cerca de calzada de acoxpa.Distribuida en 2 niveles: pequeño patio frontal, sala, comedor, cocina integral, área de lavado (zotehuela), 4 recámaras con closet cada una y 2 baños completos1 estacionamiento en área común.Excelente ubicación, todos los servicios a la mano, supermercados (bodega aurrera, la comer, walmart), plazas comerciales (gran terraza coapa, galerías coapa, paseo acoxpa), tiendas de autoservicio, papelerías, escuelas, transporte público, etc.A unos pasos de canal de miramontes, división del norte, calz acoxpa y a minutos de cafetales (eje 3) y periférico.Contáctenos y agende una cita.Aproveche la jornada notarial.",https://www.lamudi.com.mx/linda-casa-sola-iluminada-en-villa-coapa-lista-para-habitar-1.html
23,3,4,7,198,2,casa,,"[-99.168341,19.459476]",138,795898,HO610CC469822C7MX,"[""casa"",""casa-unifamiliar""]",2015,"Casa en venta en Nueva Santa Maria. 4 habitaciones, 3 baños, 2 estacionamientos, 138m2 terreno, 198m2 construcción. Nocnok ID: MX21-KM0442. ADVERTENCIA: Recuerda que nunca debes dar un anticipo sin validar que esta publicación sea legítima. NOCNOK no se hace responsable por la información contenida en los anuncios publicados por los usuarios a través de su sistema nocnok.com.",https://www.lamudi.com.mx/casa-en-venta-en-nueva-santa-maria-2.html
24,2,3,unknown,268,2,casa,,"[-99.187209984536,19.358372869992]",120,14900000,HO60A55EB705286MX,"[""casa"",""casa-unifamiliar""]",unknown,"Hermosa casa en una ubicación privilegiada, recién remodelada totalmente, excelentes acabados: 120m2 de superficie de terreno y 268m2 de construcción Distribuida en 3 plantas Sala-comedor Cocina con excelentes espacios Lindo y soleado jardín Cava y bar 3 recámaras amplias y closets (la principal cuenta con baño propio) 2 baños completos Estudio con muy buena iluminación con muebles empotrados Agradable terraza para amenizar tus tardes Cuarto de lavado Cuarto de servicio con baño completo Lugar para 2 autos en el interior Zona tranquila con ambiente familiar, muy céntrico, rodeado de avenidas principales como insurgentes, barranca del muerto, revolución, periférico, etc. Muy cerca de escuelas, parques y restaurantes.",https://www.lamudi.com.mx/se-vende-casa-en-guadalupe-inn-1.html
25,2,3,unknown,210,2,casa,,"[-99.11471,19.29384]",200,875000,HO609AC64F14C42MX,"[""casa"",""casa-unifamiliar""]",unknown,vendo hermosa casa en granjas coapa con alto valor de plusvalia exelente cuadrante en cuanto a vioas de comunicacion sobre periferico a 3 cuadras de de plaza cuemanco cerca de escuelas centros y plazas comerciales *programa tu cita *propiedad de recuperacion hipotecaria *unicamente con recursos propios *enrique gomez,https://www.lamudi.com.mx/exlente-oportunidad-casa-en-coapa.html
26,3.5,4,unknown,345,2,casa,,"[-99.1442,19.37478]",259,10150000,HO60D66BBD8942EMX,"[""casa"",""casa-unifamiliar""]",unknown,"Excelente casa, con amplios e iluminados espacios, en dos niveles, cuenta con dos lugares de estacionamiento al frente techados, al entrar nos encontramos con un acogedor recibidor, medio baño de visitas, la estancia y comedor con chimenea simulada tienen un ventanal de piso a techo con vista y salida al patio trasero de 60m2, un gran lugar para reuniones, su amplia cocina con acabados de madera en excelente estado y su desayunador, patio de lavado y tendido y un cuarto de servicios con baño completo; en planta alta las escaleras y muros de fina madera nos conducen a las 4 recámaras, la principal con wakin closet y un amplio baño, las otras tres recámaras comparten un baño, pero hay opción de hacer hasta otros dos baños, y cuenta con una linda terraza. La casa cuenta con cisterna, tinaco y tanque estacionario de gas.",https://www.lamudi.com.mx/casa-en-venta-benito-juarez-4-recamaras.html
27,2,2,unknown,100,2,casa,,"[-99.17016,1]",100,1100000,HO60411C72543B3MX,"[""casa"",""casa-unifamiliar""]",unknown,"Excelente oportunidad!! Remate bancario!! Pago solo de contado en 2 partes! No se acepta ningun tipo de credtio! Somos una empresa constituida, que te ofrece propiedades muy por debajo de su valor comercial, la mejor opción para invertir o de hacerte de un patrimonio a precios con descuentos desde un 15% hasta un 70%. Contácteme para recibir mayor información sin compromiso alguno!!!",https://www.lamudi.com.mx/hermosa-casa-adjudicada-portales.html
28,4,5,unknown,274,3,casa,,"[-99.184147193375,19.358749457431]",222,12000000,HO611ACDEE32410MX,"[""casa"",""casa-unifamiliar""]",unknown,"Casa acondicionada para oficinas, en planta baja : local comercial, 3 bodegas y 2 baños, primer nivel : 2 oficinas independendientes cada una con su propio baño, en la parte trasera 1 depto, espacio para 3 automóviles, 222 m2 de terreno (7.5m de frente y 29.6m de fondo), 274m2 de construcción, $12,000,000 MN.",https://www.lamudi.com.mx/magnifica-ubicacion-casa-en-venta-av-revolucion.html
29,3,4,7,130,2,casa,,"[-99.1406258,19.4019126]",130,5740000,HO6094BF32D4B9DMX,"[""casa"",""casa-en-condominio""]",2021,"Vive en una de las colonias mejor ubicadas de la Ciudad de México, que en años recientes ha vivido un proceso de renovación. Disfruta de parques, mercados, restaurantes y cafeterías sin salir de la zona.La casa se ha diseñados con una distribución eficiente de hasta 125 m2, que se complementan con balcones o roof garden privados y variando entre 3 y 4 recámaras.2 Estacionamientos independientes 4 Recamaras y puede incluir vestidor La calidad en los acabados es excepcional y de gran Calidad , con lo cual aprovecharas al maximo tu inversionAgenda una cita , para conocer esta espectacular vivienda .Somos asesores profesionales en Bienes Raíces, especialistas en hacer que tu experiencia de inversión patrimonial (venta, renta o compra) sea confiable, rentable y fácil de hacer realidad.Contáctenos, conoce todos los detalles y agenda una cita para ver personalmente todo lo que la propiedad tiene para ofrecerte.Si necesitas un crédito Hipotecario, coméntanos y te daremos asesoría 100 % gratuita y sin compromiso. EasyBroker ID: EB-HK5200",https://www.lamudi.com.mx/town-house-en-venta-en-la-coruna-alamos-benito-juarez-1.html
30,3,4,7,130,2,casa,,"[-99.1406258,19.4019126]",130,5740000,HO6094BF32D4B9DMX,"[""casa"",""casa-en-condominio""]",2021,"Vive en una de las colonias mejor ubicadas de la Ciudad de México, que en años recientes ha vivido un proceso de renovación. Disfruta de parques, mercados, restaurantes y cafeterías sin salir de la zona.La casa se ha diseñados con una distribución eficiente de hasta 125 m2, que se complementan con balcones o roof garden privados y variando entre 3 y 4 recámaras.2 Estacionamientos independientes 4 Recamaras y puede incluir vestidor La calidad en los acabados es excepcional y de gran Calidad , con lo cual aprovecharas al maximo tu inversionAgenda una cita , para conocer esta espectacular vivienda .Somos asesores profesionales en Bienes Raíces, especialistas en hacer que tu experiencia de inversión patrimonial (venta, renta o compra) sea confiable, rentable y fácil de hacer realidad.Contáctenos, conoce todos los detalles y agenda una cita para ver personalmente todo lo que la propiedad tiene para ofrecerte.Si necesitas un crédito Hipotecario, coméntanos y te daremos asesoría 100 % gratuita y sin compromiso. EasyBroker ID: EB-HK5200",https://www.lamudi.com.mx/town-house-en-venta-en-la-coruna-alamos-benito-juarez-1.html
31,1,2,3,97,2,casa,,"[-99.13013,19.55025]",145,1300000,HO6096B98DE67FEMX,"[""casa"",""otro-casa""]",unknown,"Se vende propiedad con construccion de 97 m2 en obra negra y 145m2 terreno,con local comercial en planta baja escriturado. A media cuadra de av. Del castillo, a 10m de barranca de cocoyotes.",https://www.lamudi.com.mx/se-vende-propiedad-col-cuautepec-g-a-m.html
32,1,2,unknown,90,1,casa,,"[-99.17041,19.40032]",90,324410.2,HO60CA246768B03MX,"[""casa"",""townhouse""]",unknown,Informes y citas: lic. Javier peña : 55-40-56-60-82 No se aceptan creditos Precio debajo del 50% del valor comercial Entrega garantizada Informes: gerente comercial - lic. Javier peña Teléfono: 55-40-56-60-82 Whatsapp: +52 55-40-56-60-82 Invierte en tu patrimonio?es tu gran oportunidad!!!,https://www.lamudi.com.mx/hermosa-casa-cerca-de-metro-guelatao.html
33,2,3,unknown,90,2,casa,,"[-99.1347,19.48776]",90,1018000,HO61076A062B2C9MX,"[""casa"",""townhouse""]",unknown,"Un lindo diseño por dentro y por fuera, el prototipo arinto cuenta con una agradable terraza para que goces de tu privacidad con una gran vista.  ubicada en privada portobello a 30 minutos de la caseta mexico pachuca  en 2 niveles.  sala comedor  cocina patio de servicio  covacha pasillo de servicio  3 recamaras (una en planta baja)  espacio para clósets  1 1/2 baños  estacionamiento 2 autos  servicios subterráneos   excelente opción a crecimiento diversas amenidades en la privada  agenda tu visita y llevate excelentes promociones  visita mi pagina residenciales elmer",https://www.lamudi.com.mx/ultimas-casas-arinto-terraza-de-3-recamaras.html
