,bathrooms,bedrooms,rooms_total,building_size,car_spaces,category,furnished,coordinates,location,land_size,price,id,subcategory,year_built,description,link
10,2,2,unknown,95,2,departamento,,"[-99.167668,19.389164]","Del Valle, Benito Juárez",unknown,5200000,AP5F288D968E129MX,"[""departamento"",""departamentos""]",unknown,"Contempla espacios de lujo y áreas verdes diseñadas bajo un concepto exclusivo y vanguardista con una gran atención en los detalles y acabados que podrás disfrutar. cuenta con 85 m2 habitables y 10 m2 de terraza. 2 recámaras, walk in closet, 2 baños completos con mármol, cocina equipada con madera de ingeniería, sala, comedor, área de lavado, 2 cajones de estacionamiento (sin estorbarse) y elevador. también cuenta con sky garden, gimnasio y salón de eventos. departamentos disponibles en venta y renta!!",https://www.lamudi.com.mx/departamento-con-terraza-en-venta-en-benito-juarez.html
11,2,2,unknown,156,2,departamento,76,"[-99.18791,19.38279]","Santa Maria Nonoalco, Benito Juárez",unknown,5006171,AP5DB78748AC505MX,"[""departamento"",""departamentos""]",unknown,"Casa da vinci es un atractivo proyecto ubicado en una de las zonas que destacan por su rica herencia cultural y nos brinda un aspecto colonial lleno de historias y leyendas con los mejores escenarios para vivir.La distribución de sus espacios creará un ambiente para convivir con su entorno, regalándonos espectaculares vistas acompañadas de cómodas amenidades en instalaciones de primer nivel para disfrutar al máximo.Cuentan con 2 recamaras, 2 baños y 2 cajones de estacionamiento.",https://www.lamudi.com.mx/departamento-en-venta-con-terraza-en-mixcoac.html
12,2,2,4,155,2,departamento,,"[-99.2742706,19.3568031]","Santa Fe Cuajimalpa, Cuajimalpa de Morelos",unknown,9400000,AP60E426D7E2146MX,"[""departamento"",""departamentos""]",2021,"Increíble departamento en la mejor zona de Santa Fe. Muy cerca de el parque la Mexicana. Cerca de teatros, centros comerciales, cines,restaurantes,  gimnasios y hoteles. Excelente Oportunidad!. EasyBroker ID: EB-HE6864",https://www.lamudi.com.mx/super-departamento-en-peninsula.html
13,3,2,unknown,294,4,departamento,,"[-99.25807,19.3872]","Bosques de las Lomas, Cuajimalpa de Morelos",unknown,18500000,AP5ED96CBC813C2MX,"[""departamento"",""departamentos""]",unknown,"Sala comedor Cocina eléctrica con horno y estufa. 2 recámaras con baño y vestidor. Estudio con opción a, 3ª. Recámara con baño y vestidor, Lavandería amplia Bodega Cuarto de servicio Bar y cava de vinos 4 estacionamientos 294 m2  Características:  Acabados de lujo, puertas alemanas, piso de madera, piso de mármol, madera de nogal. Cancelería de pvc vidrios dobles europeos en todas las recámaras, sala y comedor. Accesorios: todos los herrajes de cocina y puertas son alemanes. La iluminación es led de ahorro. Aislante de ruido en todo el plafón así como bajo el piso de madera y piso de mármol para evitar ruidos arriba y abajo. Cableado con internet de fibra alta velocidad de más de 40 megas desde cualquier punto. Cableado telefónico para conmutador Accesorios y muebles de baño son helvex línea exportación, línea de lujo. El mármol es arabesco y la madera de pisos es europea puertas y muebles de baño así como muebles de las recámaras son de madera nogal.   Amenidades  Gimnasio nuevo, baños y saunas Ludoteca remodelada Cancha de tenis y squash Alberca, salón de yoga Pista de jogging, pista de bicicleta Sala de cine Salón de domino eventos chicos, salón para jóvenes con televisión, salón de eventos grande  Se cambió toda la instalación hidráulica y eléctrica",https://www.lamudi.com.mx/espectacular-departamento-en-bosques-de-las-lomas-4.html
14,3,3,6,200,2,departamento,,"[-99.1956012,19.4340199]","Polanco, Miguel Hidalgo",unknown,16000000,AP60F3D9FA06C5EMX,"[""departamento"",""departamentos""]",2021,Recién remodelado todo a estrenar  El cuarto principal con vestidor y cortinas eléctricas. Sala de tv Cuarto de servicio Súper vista panorámica al bosque de Chapultepec. EasyBroker ID: EB-HZ9521,https://www.lamudi.com.mx/departamento-en-hegel-polanco.html
15,3,3,6,200,3,departamento,,"[-99.24993,19.32986]","Torres de Potrero, Álvaro Obregón",unknown,8900000,AP60E426BCB5AF5MX,"[""departamento"",""departamentos""]",2018,"Increíble departamento con una vista espectacular del sur de la cuidad de México  Tiene seguridad  Está cerca de supermercados, restaurantes y clubes deportivos. Cuenta con increíbles áreas verdes en donde tú y tu familia podrán disfrutar. Tiene un gran espacio para que los niños puedan convivir y divertirse.  A 3 min de la súpervia para el sur  A 5 min de la súpervia para Santa Fe   Se remodelaron  los baños y los pisos dándole un increíble toque de lujo al departamento. ¿Te lo vas a perder? Excelente oportunidad!!. EasyBroker ID: EB-GY0697",https://www.lamudi.com.mx/citta-san-jeronimo-20.html
16,3,3,3,270,0,departamento,,"[-99.2004541,19.4351765]","Polanco, Miguel Hidalgo",unknown,1608000,AP610CD94F42A30MX,"[""departamento"",""departamentos""]",2021,"Polanco, Goldsmith 222 PH 1. Departamento desarrollado en 1 planta, cuenta con 210m, terraza de 60m, 3 recamaras con baño y vestidor, sala comedor, cocina, medio baño de visitas, family, cuarto de servicio con baño,3 estacionamientos. Entrega inmediata en obra gris para decorar al gusto.",https://www.lamudi.com.mx/polanco-goldsmith-222-ph-1-polanco-1.html
17,2,2,2,111,0,departamento,,"[-99.2659277,19.3627844]","Santa Fe Cuajimalpa, Cuajimalpa de Morelos",unknown,6700000,AP611B556350288MX,"[""departamento"",""departamentos""]",2021,"Santa Fe, departamento a la venta en Residencial Escape (DM). Cuenta con  111 mts, sala,  comedor, cocina, 2 recamaras la principal con baño y vestidor, 2 baños completos, mantenimiento $4750 mn., 2 estacionamientos, elevador. Magnifica ubicación zona  privilegiada llena de plazas comerciales y restaurantes.",https://www.lamudi.com.mx/santa-fe-departamento-a-la-venta-en-residencial-escape-dm-1.html
18,3,3,3,350,0,departamento,,"[-99.2650595751,19.3920248319]","Bosque de las Lomas, Miguel Hidalgo",unknown,800000,AP610CD8E3AC46EMX,"[""departamento"",""departamentos""]",2021,"Col. Bosques de las Lomas, Residencial Bosque Alto, departamento en venta con vista panoramica (MC) 350m, estancia abierta de sala y comedor, bar, TERRAZA, cocina con buenos acabados, 3 recámaras con vestidor y baño cada una, área de lavado y servicio, 4 estacionamientos, bodega, 3 elevadores, vigilancia privada, mant. $12,500mn. Áreas comunes: Padlle, Jardín con juegos infantiles, alberca jacuzzi, gimnasio, salón de fiestas, adultos y jóvenes, ludoteca, valet parking.",https://www.lamudi.com.mx/residencial-bosque-alto-departamento-en-venta-vista-panoramica-mc-2.html
19,3,3,3,298,0,departamento,,"[-99.2085521,19.4353101]","Polanco, Miguel Hidalgo",unknown,15000000,AP611B55262FEEBMX,"[""departamento"",""departamentos""]",2021,"Jaime Balmes, departamento en venta, Polanco (MC) 298m, amplia estancia sala comedor y BALCÓN, cocina recién remodelada, antecomedor, family, 3 recámaras, 3.5 baños, área de lavado y servicio, 3 estacionamientos, mant. $3,200mn. Amplio departamento con luz natural en todos los espacios y temperatura agradable. Buena ubicación, cerca de centros comerciales, restaurantes y bancos.",https://www.lamudi.com.mx/jaime-balmes-departamento-en-venta-polanco-mc-2.html
20,2,2,2,160,0,departamento,,"[-99.1980885,19.4334883]","Polanco, Miguel Hidalgo",unknown,14000000,AP611B54D08FD82MX,"[""departamento"",""departamentos""]",2021,"¡BAJA PRECIO DE $16'000,000 A $14'000,000 MN! Calle Lafontaine, excelente departamento  en venta en la mejor zona de polanco (DM). Cuenta con 160 mts., + 8 mts. de TERRAZA, estancia amplia sala y comedor, cocina, 2 recamaras, la principal con baño y vestidor, la otra recamara con baño y closet, estudio, cuarto de servicio y lavado, 2 lugares de estacionamiento, bodega, mantenimiento $10,000 mn. , seguridad 24 horas. Se aceptan mascotas.",https://www.lamudi.com.mx/polanco-baja-precio-de-venta-departamento-con-terraza-calle-lafontaine-dm-1.html
21,2,3,3,284,0,departamento,,"[-99.211064,19.4372571]","Polanco, Miguel Hidalgo",unknown,11500000,AP611B54274679DMX,"[""departamento"",""departamentos""]",2021,"Polanco, a la venta departamento con BALCÓN en calle Lagrange (MC). Amplio con espacios abiertos, luz natural en todos lados y excelentes temperatura. Cuenta con 284 mts, sala-comedor y un BALCÓN que se integra, cocina con antecomedor y mucho espacio para guardar, gran family, 2 recamaras, 2.5 baños, área de lavado y cuarto de servicio con baño completo, 2 lugares de estacionamiento y mantenimiento $3,200 mn. que incluye seguro del edificio. Puerta de servicio con elevador y escaleras de emergencia",https://www.lamudi.com.mx/polanco-a-la-venta-departamento-con-balcon-en-calle-lagrange-mc-1.html
22,3,3,3,386,0,departamento,,"[-99.227876,19.4220384831]","Lomas de Chapultepec, Miguel Hidalgo",unknown,1300000,AP611B545D440FBMX,"[""departamento"",""departamentos""]",2021,"Lomas de Chapultepec, departamento a la venta en Century Lomas uno de los mejores residenciales de la zona. (GR) Totalmente remodelado y listo para entrar. Cuenta con 386 mts, estancia muy amplia con vista arbolada, antecomedor y sala de tv., 3 recámaras con baño, cuarto de lavado  y servicio, mantenimiento $15000mn, seguridad privada privada, 4 estacionamientos. Áreas comunes: salón de fiestas, gimnasio, alberca, cancha de tenis, jardines con juegos infantiles y ciclopista",https://www.lamudi.com.mx/lomas-de-chapultepec-departamento-a-la-venta-en-century-lomas-gr-1.html
23,2,2,2,191,0,departamento,,"[-99.1534888,19.43013]","Juárez, Cuauhtémoc",unknown,9500000,AP611B555637FE4MX,"[""departamento"",""departamentos""]",2021,"Venta  PENT HOUSE  3 NIVELES ,  Gral Prim  Col Juarez  (LG/JS)    Consta de 3  niveles con   1er Piso   recamara principal con vestidor y baño , segunda recamara  closet y baño  , 2 do piso  sala , comedor, cocina  , medio baño de visitas ,  TERRAZA  7 mts  y entrepiso de 4 metros. En el  3er piso   ROOF GARDEN PRIVADO 47 mts  con vista parcial a paseo de la reforma. En el corazón de la colonia Juárez a solo dos cuadras de   insurgentes, edificio estilo ART DECO totalmente remodelado.",https://www.lamudi.com.mx/col-juarez-a-la-venta-departamento-ph-3-niveles-en-calle-general-prim-lg-js-1.html
24,2,2,4,80,2,departamento,,"[-99.19123,19.44016]","Granada, Miguel Hidalgo",unknown,4850000,AP610F8057EC66BMX,"[""departamento"",""departamentos""]",2021,"<p>Departamento EXTERIOR, iluminado, configurado en esquina, con Vista a la Ciudad.</p><p>En nivel 6 (Torre B)</p><p>2 recámaras <br />2 baños (completos) <br />estancia-comedor <br />cocina integral (abierta) <br />área de lavado ventilada <br />2 cajones ( uno eleva-auto) </p><p>Amenidades:</p><p>Salón de usos múltiples <br />alberca <br />gimnasio <br />salón de usos múltiples <br />roof común. EasyBroker ID: EB-ID9588</p>",https://www.lamudi.com.mx/venta-de-departamento-exterior-en-col-granada.html
25,3,3,6,311,4,departamento,,"[-99.2783201,19.3527537]","Contadero, Cuajimalpa de Morelos",unknown,17000000,AP61249F66859A8MX,"[""departamento"",""departamentos""]",2021,"Amplio Departamento área habitable 311.22m2, superficie en Terrazas, bodega y 4 estacionamientos 132.63m2.  Cuarto y baño de servicio, área de lavado, cocina integral, alacena d excelente tamaño, comedor, sala con chimenea y balcón, sala de TV, medio baño, recámara principal con vestidor y baño con salida a una sala de juegos y terraza con increíble vista, las otras 2 recamaras con vestidor, baño y balcón. Espacios súper amplios e iluminados, elevador directo al Depto, acabados de lujo, vigilancia 24 hrs. PRECIO MENOR AL AVALÚO. Haz una cita. EasyBroker ID: EB-IH4735",https://www.lamudi.com.mx/amplio-depto-en-residencial-las-flores-cuajimalpa.html
26,2,2,4,105,unknown,departamento,,"[-99.1755401,19.4091719]","Condesa, Cuauhtémoc",unknown,7800000,AP61249B07DE2D9MX,"[""departamento"",""departamentos""]",2021,"Departamento de Lujo en la Colonia  Condesa con acabados seleccionados.La Colonia Condesa es una zona de la Ciudad de México muy conocida no sólo por la gran cantidad de cafés, librerías, restaurantes, galerías y boutiques que se ubican dentro de ella, si no por su muy activa vida cultural y nocturna.Con una elegante fachada de concreto blanco aparente de textura irregular, el edificio logra resaltar mientras respeta la magnificencia de la hermosa jacaranda que crece justo en frente.Es por eso que tenemos la dicha de presentarte tu nuevo departamento con balcones,  2 cuartos, dos baños completos y fácil mantenimiento, pero con un estilo inigualable.Por lo anterior, los pisos del departamento, salvo baños, y todas las puertas son de madera de ingeniería de roble, el material de mobiliario de cocina es de MDF español, los electrodomésticos, la parrilla y los manerales son alemanes de la marca SMEG, la canceleria es impermeable al sonido -esto para que tu departamento sea un área de suma tranquilidad, reconociendo la vida nocturna de la zona- y los vidrios son polarizados. Asimismo, los closet de los cuartos son italianos de melamina importada y muy resistentes. El piso de los baños es de porcelanato y sus muebles son de melanina importada. La barra del lavabo es de granito y ambos baños cuentan con extractores de humedad de la más alta calidad, silenciosos y de gran potencia. EasyBroker ID: EB-CV2873",https://www.lamudi.com.mx/departamento-de-lujo-en-la-colonia-condesa-cdmx-mexicali-87-1.html
27,4,4,8,400,3,departamento,,"[-99.1837085,19.4370042]","Polanco, Miguel Hidalgo",unknown,37500000,AP5ED8C99A26F0EMX,"[""departamento"",""departamentos""]",2021,"Espectacular PH de dos pisos y acabados de súper lujo, a unos pasos de Marayk, con una vista inigualable, 4 recámaras muy amplias, cada una con baño 3 con vestidor y una con closet, sala-comedor, cocina abierta con desayunador, y terraza de 50 m, cava acondicionada, 3 estacionamientos, el recobidos con doble altura. EasyBroker ID: EB-FB7017",https://www.lamudi.com.mx/pent-house-en-venta-en-polanco-5.html
28,3,3,6,229.2,2,departamento,,"[-99.180634,19.370342]","Insurgentes Mixcoac, Benito Juárez",unknown,12050000,AP61257C24A8956MX,"[""departamento"",""departamentos""]",unknown,"Bello y práctico Departamento conformado por 3 Habitaciónes, 3 Baños, 229.2 m2 Habitables, 84.47 m2 de Balcón, 144.73 m2 Totales y 2 Garage(s)Acento Mixcoac¡ÚLTIMOS TOWNHOUSES CON DOBLE ALTURA Y DEPARTAMENTOS! Entrega en diciembre 2021 o hasta en 20 meses.Opción de entrega en obra gris, obra blanca o con acabados de lujo.Disfruta de Jardín Central diseñado por GLC, townhouses doble altura, roof gardens y balcones privados.Acento Mixcoac es un proyecto único de townhouses y departamentos con doble altura en el corazón de la Ciudad de México, dentro de una atmósfera de lujo y exclusividad con la magia tradicional que aún se respira en las calles de la zona de Mixcoac.Imágenes de referencia publicitaria. Las especificaciones pueden variar sin previo aviso.",https://www.lamudi.com.mx/lizardi-b501-acento-mixcoac.html
29,3,3,3,360,0,departamento,,"[-99.2773159,19.3621041]","Santa Fe Cuajimalpa, Cuajimalpa de Morelos",unknown,18000000,AP6124927D72102MX,"[""departamento"",""departamentos""]",2021,"-40- MAGNIFICO DEPARTAMENTO en SANTA FE, muy iluminado y excelente ubicación, estilo contemporáneo.Consta de los siguientes espacios: Recibidor, sala, comedor, cocina a diseño, baño de vistas, 3 recámaras con vestidor y baño cada una, cuarto de servicio, área de lavandería, 3 estacionamientos techados.Acabados de lujo: Mármol y madera, cocina con placa de granito.Áreas comunes: Salón de fiestas, gimnasio y alberca techada. Vigilancia 24 horas, elevador.Mantenimiento $ 8,400.00 pesos (MB) DENH2301I5521631700 M5525591520 EB-HC6878",https://www.lamudi.com.mx/venta-departamento-santa-fe-165.html
30,2,2,2,213,0,departamento,,"[-99.2135381,19.4304655]","Lomas de Chapultepec, Miguel Hidalgo",unknown,12650000,AP610CD9F8E2A7DMX,"[""departamento"",""departamentos""]",2021,"Lomas de Chapultepec, departamento a la venta en Sierra Mojada (JS). Cuenta con 213 mts distribuido en 2 niveles y TERRAZA de 57mts. En la planta baja amplia estancia-comedor, cocina integral con despensa, lavavajillas y triturador, lavandería, 2 recámaras amplias con baño completo cada una, 3 minisplits, baño de visitas, cuarto de servicio amplio con closet y baño completo. En la planta alta esta  un amplio cuarto de juegos o de TV, cocineta, área de guardado (bodega). 2 cajones fijos de estacionamiento para 1 coche y 1 camioneta (tandem), mantenimiento $5,100 mn. El edificio cuenta con portero 24 hrs., Roof Top común de 80 m2., planta de luz el edificio, y áreas comunes y elevador.",https://www.lamudi.com.mx/lomas-de-chapultepec-departamento-con-terraza-a-la-venta-en-sierra-mojada-js.html
31,2,2,unknown,78,2,departamento,,"[-99.2221589,19.3661928]",Álvaro Obregón,unknown,3800000,AP612337FB0D3ECMX,"[""departamento"",""departamentos""]",unknown,"Departamento en venta como nuevo con patio privado en town house Santa Fe cerca de la carretera federal del lado de Santa Fe. Fácil acceso a vías principales , cerca de centros comerciales importantes, hospitales, oficinas etc. Casi nuevo, con hermosos detalles, soleado. Disfruta de tus reuniones privadas en tu patio con tu familia y amigos. CUENTA CON: JARDINES COMUNES SALON DE FIESTAS GIMNASIO VIGILANCIA 24 HRS",https://www.lamudi.com.mx/venta-departamento-con-patio-en-cuajimalpa.html
32,3,3,3,320,0,departamento,,"[-99.2653388,19.3805364]","Lomas de Vista Hermosa, Cuajimalpa de Morelos",unknown,500000,AP611B5550ED7B2MX,"[""departamento"",""departamentos""]",2021,"Residencial Atrium, departamento en venta  AMUEBLADO Lomas de Vista Hermosa (VM)   Cuenta con  320 mts, sala y comedor grandes, cocina, antecomedor, 3 recámaras con vestidor y baño, cuarto de servicio y área de lavandería, muy amplio con excelentes vistas, mant $9,500mn, 3 estacionamientos, 3 elevadores. aire acondicionado,  calefaccion,  muebles fijos en casi toda la casa y se aceptan mascotas . Areas Comunes:  alberca techada, hall, jardin, salón de fiestas, ludoteca.",https://www.lamudi.com.mx/residencial-atrium-departamento-en-venta-amueblado-lomas-de-vista-hermosa-vm-1.html
33,2,3,3,147,0,departamento,,"[-99.2631409,19.3666212]","Santa Fe Cuajimalpa, Cuajimalpa de Morelos",unknown,8500000,AP611B555869A94MX,"[""departamento"",""departamentos""]",2021,"Pasaje Santa Fe, excelente departamento a la venta, recién remodelado (JS). Cuenta con 147 mts. distribuido en 2 niveles, gran TERRAZA, sala y comedor amplios, 3 recamaras, curto de tv., 2.5 baños, cuarto de servicio, mantenimiento $7400 mn., bodega, 3 cajones de estacionamiento. Amenidades: Zona Comercial debajo del edificio con Restaurantes, Farmacia, Tintorería. Junto al Centro Comercial Garden Santa Fe y la Ibero.",https://www.lamudi.com.mx/pasaje-santa-fe-excelente-departamento-con-terraza-a-la-venta-js-1.html
34,3,3,3,152,0,departamento,,"[-99.1888509,19.4309002042]","Polanco, Miguel Hidalgo",unknown,1125000,AP610CD8B6A4F64MX,"[""departamento"",""departamentos""]",2021,"Entrega inmediata, listo para habitar!  Lido Residences PH 402, en venta, construido en  2 niveles, 152.07m habitables + ROOF GARDEN PRIVADO de 77.46 m. Primer nivel: estancia amplia, cocina Italiana, 1 recámara con baño, cuarto de lavado, baño de visitas. Segundo nivel: 2 recámaras con vestidor y baño, closet de blancos, bodega de 4.05m, 2 estacionamientos. Se entrega con terminados de lujo, accesorios de baño ""Villeroy &amp;amp;amp;amp;amp;amp;amp; Bosch"", mármol importado, madera de ingeniería. Amenidades: 2 Roof Garden común. Versión preliminar de divulgación. precios sujetos a cambio sin previo aviso. Visita nuestro recorrido virtual en: https://bit.ly/2Xy7FJT",https://www.lamudi.com.mx/venta-lido-residences-nuevo-penthouse-402-col-polanco-2.html
35,3,3,3,223,0,departamento,,"[-99.2004541,19.4351765]","Polanco, Miguel Hidalgo",unknown,1158125,AP610CD94058BC6MX,"[""departamento"",""departamentos""]",2021,"Polanco, Goldsmith 222, Departamento tipo Town House, desarrollado en 2 plantas, cuenta con 202m habitables mas una terraza de 21m. Consta de 3 recamaras, la principal con baño, vestidor y tina, la segunda cuenta con baño y vestidor, la tercera con baño y closet. Distribucion; Planta alta: acceso principal, sala, comedor, cocina abierta, medio baño de visitas, área de lavado y cuarto de servicio con baño. Planta Baja: 3 recamaras y family. 2 estacionamientos.",https://www.lamudi.com.mx/polanco-goldsmith-222-th-101-2.html
36,3,3,3,217,0,departamento,,"[-99.2004541,19.4351765]","Polanco, Miguel Hidalgo",unknown,1654900,AP610CD9581AFFBMX,"[""departamento"",""departamentos""]",2021,"Polanco, Goldsmith 222 PH 2. Departamento desarrollado en 1 planta, cuenta con 217m, terraza de 60m, 3 recamaras con baño y vestidor, sala comedor, cocina, medio baño de visitas, estudio, cuarto de servicio con baño,3 estacionamientos. Entrega inmediata en obra gris para decorar al gusto.",https://www.lamudi.com.mx/polanco-departamento-para-estrenar-a-la-venta-goldsmith-222-ph-2-js.html
37,3,3,3,223,0,departamento,,"[-99.2004541,19.4351765]","Polanco, Miguel Hidalgo",unknown,1136325,AP610CD946E2294MX,"[""departamento"",""departamentos""]",2021,"Polanco, Goldsmith 222, Departamento tipo Town House, desarrollado en 2 plantas, cuenta con 194m, mas una terraza de 29m. Consta de 3 recamaras, 2 con baño y vestidor, la tercera con baño y closet. Distribución: Planta alta: acceso principal, sala, comedor, cocina abierta, medio baño de visitas, área de lavado y cuarto de servicio con baño. Planta Baja: 3 recamaras y closet de blancos. 2 estacionamientos.",https://www.lamudi.com.mx/polanco-goldsmith-222-th-102-2.html
38,3,3,3,229,0,departamento,,"[-99.2004541,19.4351765]","Polanco, Miguel Hidalgo",unknown,1128400,AP610CD8F27B640MX,"[""departamento"",""departamentos""]",2021,"Polanco, Goldsmith 222, Departamento tipo Town House, desarrollado en 2 plantas, cuenta con 205m, mas una terraza de 24m. Consta de 3 recamaras, la principal con baño y vestidor, la segunda y tercera cuentan con baño privado y closet. Distribución: Planta alta: acceso principal, sala amplia, comedor, cocina abierta, medio baño de visitas, área de lavado y cuarto de servicio con baño. Planta Baja: 3 recamaras, family. 2 estacionamientos.",https://www.lamudi.com.mx/polanco-goldsmith-222-th-104-2.html
