|id|precio_m2|precio|moneda|precio_MXN|mantenimiento|superficie_total|superficie_cubierta|colonia|alcaldia|direccion|dormitorios|baños|cocheras|anunciante|url|google_src|lat|lng
10|10|66573.03370786516|11850000|11850000|N/A|4500.0|178.0|178.0| Polanco| Miguel Hidalgo|Juan Racine,  Polanco, Miguel Hidalgo|3.0|2.0|2.0|Grupo Bosques Bienes Raíces|https://www.inmuebles24.com/propiedades/departamento-en-venta-en-polanco-cdmx-60590789.html|//maps.google.com/maps/api/staticmap?center=19.437975600000001,-99.212773400000003&zoom=16&markers=19.437975600000001,-99.212773400000003&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=xMLCYSQkRQjTazaecUjFXnJbsNs=&channel=rpfic-i24|19.4379756|-99.2127734
11|11|46090.53497942387|11200000|11200000|N/A||243.0|243.0| Condesa| Cuauhtémoc|Veracruz,  Condesa, Cuauhtémoc|3.0|3.0|1.0|Property Match|https://www.inmuebles24.com/propiedades/venta-ph-calle-veracruz-condesa-61783218.html|//maps.google.com/maps/api/staticmap?center=19.416238400000001,-99.173055700000006&zoom=16&markers=19.416238400000001,-99.173055700000006&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=_gYs31u7SCyTAYfTzhAdZoZZx1I=&channel=rpfic-i24|19.4162384|-99.1730557
12|12|5500.0|990000|19602000.0|N/A||180.0|180.0| Polanco| Miguel Hidalgo|Solón, Departamento Nuevo con Terraza en Venta, Polanco (vg),  Polanco, Miguel Hidalgo|2.0|2.0|2.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/solon-departamento-nuevo-con-terraza-en-venta-61853045.html|//maps.google.com/maps/api/staticmap?center=19.434198111800000,-99.206361189000006&zoom=16&markers=19.434198111800000,-99.206361189000006&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=OTxtXM7cURIX3RSpVCn4Lu47BoE=&channel=rpfic-i24|19.4341981118|-99.206361189
13|13|40540.54054054054|13500000|13500000|N/A|4000.0|333.0|314.0| Lomas de Vista Hermosa| Cuajimalpa de Morelos|Residencial Miravalle,  Lomas de Vista Hermosa, Cuajimalpa de Morelos|3.0|3.0|2.0|ESTUDIO.inmobiliario|https://www.inmuebles24.com/propiedades/vendo-casa-vista-hermosa-59842336.html|//maps.google.com/maps/api/staticmap?center=19.369075400000000,-99.284306100000000&zoom=16&markers=19.369075400000000,-99.284306100000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=pZsK9CWHS5QeYPFeJKRlvn5tAEE=&channel=rpfic-i24|19.3690754|-99.2843061
14|14|72033.89830508475|8500000|8500000|N/A|3500.0|118.0|118.0| Ampliación Granada| Miguel Hidalgo|Lago Zurich 245,  Ampliación Granada, Miguel Hidalgo|2.0|3.0|2.0|D´CASA Inmobiliaria|https://www.inmuebles24.com/propiedades/plaza-carso-departamento-torre-pissarro-vista-51300357.html|//maps.google.com/maps/api/staticmap?center=19.441793800000000,-99.203885399999990&zoom=16&markers=19.441793800000000,-99.203885399999990&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=u0S6uuyf3ruh4Ie0dwVqLKWTbo4=&channel=rpfic-i24|19.4417938|-99.2038854
15|15|104651.16279069768|18000000|18000000|N/A|8000.0|172.0|150.0| Polanco| Miguel Hidalgo|Polanco, Excelente Departamento a la Venta en Lafontaine (vm),  Polanco, Miguel Hidalgo|2.0|2.0|2.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/polanco-excelente-departamento-a-la-venta-en-61324420.html|//maps.google.com/maps/api/staticmap?center=19.432740899999998,-99.198231000000006&zoom=16&markers=19.432740899999998,-99.198231000000006&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=5MB7C6YYrRhB1T6HimbaANYs9qI=&channel=rpfic-i24|19.4327409|-99.198231
16|16|2562.674094707521|920000|18216000.0|N/A|1500.0|359.0|303.0| Lomas de Bezares| Miguel Hidalgo|Lomas de Bezares Casa Recién Remodelada a la Venta en Calle Tiro al Pichon (vm),  Lomas de Bezares, Miguel Hidalgo|3.0|4.0|4.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/lomas-de-bezares-casa-recien-remodelada-a-la-venta-en-61967326.html|//maps.google.com/maps/api/staticmap?center=19.391338499999999,-99.245365100000000&zoom=16&markers=19.391338499999999,-99.245365100000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=hDc_ZtbVcVXzF0eQ74pdUGsloIc=&channel=rpfic-i24|19.3913385|-99.2453651
17|17|34500.0|6900000|6900000|N/A||200.0|200.0| Olivar de los Padres| Alvaro Obregón|Av Toluca,  Olivar de los Padres, Alvaro Obregón|2.0|2.0|2.0|CGC BIENES RAICES|https://www.inmuebles24.com/propiedades/los-beneficios-de-una-casa-en-un-departamento-con-58921948.html|//maps.google.com/maps/api/staticmap?center=19.339688999999999,-99.215825699999996&zoom=16&markers=19.339688999999999,-99.215825699999996&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=7os9cZymiUxh9XBKCQJcCUSMzwE=&channel=rpfic-i24|19.339689|-99.2158257
18|18|46633.333333333336|13990000|13990000|N/A||300.0|333.0| Tlacopac| Alvaro Obregón|,  Tlacopac, Alvaro Obregón|3.0|3.0|2.0|HÁBITAT SI |https://www.inmuebles24.com/propiedades/casa-en-venta-en-tlacopac-san-angel-60446516.html|//maps.google.com/maps/api/staticmap?center=19.352905700000000,-99.196135400000002&zoom=16&markers=19.352905700000000,-99.196135400000002&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=Bc1_B44GLSkVoAst4LJUcYBuUjE=&channel=rpfic-i24|19.3529057|-99.1961354
19|19|68181.81818181818|15000000|15000000|N/A||220.0|220.0| Ampliación Granada| Miguel Hidalgo|Lago Zurich 245,  Ampliación Granada, Miguel Hidalgo|3.0|3.0|2.0|D´CASA Inmobiliaria|https://www.inmuebles24.com/propiedades/plaza-carso-torre-monet-acceso-directo-al-centro-61244347.html|//maps.google.com/maps/api/staticmap?center=19.441681600000000,-99.203794600000000&zoom=16&markers=19.441681600000000,-99.203794600000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=gZgNHvpCF1GhrMOEuV3Kg0PHUw8=&channel=rpfic-i24|19.4416816|-99.2037946
20|20|2375.0|2850000|56430000.0|N/A||1200.0|900.0| Bosques de las Lomas| Cuajimalpa de Morelos|bosque de encinos,  Bosques de las Lomas, Cuajimalpa de Morelos|4.0|4.0|5.0|PIAT grupo Inmobiliario|https://www.inmuebles24.com/propiedades/casa-en-bosques-de-las-lomas-61165307.html|//maps.google.com/maps/api/staticmap?center=19.411864099999998,-99.235991699999999&zoom=16&markers=19.411864099999998,-99.235991699999999&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=x7EmFOMXQmZd1z1pCvvEzdHo7FM=&channel=rpfic-i24|19.4118641|-99.23599170000001
21|21|81428.57142857143|5700000|5700000|N/A||70.0|70.0| Ampliación Granada| Miguel Hidalgo|Lago Zurich 219,  Ampliación Granada, Miguel Hidalgo|1.0|1.0|1.0|D´CASA Inmobiliaria|https://www.inmuebles24.com/propiedades/plaza-carso-de-super-lujo-departamento-torre-pissarro-58316358.html|//maps.google.com/maps/api/staticmap?center=19.441739988664335,-99.204542083605930&zoom=16&markers=19.441739988664335,-99.204542083605930&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=6MN1C0XFWPSQFB7wKH4nPzNHc6U=&channel=rpfic-i24|19.44173998866433|-99.20454208360592
22|22|34906.542056074766|3735000|3735000|N/A||107.0|65.0| Santa María la Ribera| Cuauhtémoc|Santa María La Ribera, Preventa Departamento 303 en Calle Trébol (vm),  Santa María la Ribera, Cuauhtémoc|2.0|1.0|1.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/santa-maria-la-ribera-preventa-departamento-303-en-61967278.html|//maps.google.com/maps/api/staticmap?center=19.454564799999999,-99.155899500000003&zoom=16&markers=19.454564799999999,-99.155899500000003&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=Gmvm3bzen8AbxW4lvcuKcam74Ds=&channel=rpfic-i24|19.4545648|-99.1558995
23|23|72272.72727272728|7950000|7950000|N/A||110.0|110.0| Ampliación Granada| Miguel Hidalgo|Lago Zurich 96,  Ampliación Granada, Miguel Hidalgo|2.0|2.0|2.0|D´CASA Inmobiliaria|https://www.inmuebles24.com/propiedades/plaza-carso-torre-renoir-amueblado-de-super-lujo-vista-51251287.html|//maps.google.com/maps/api/staticmap?center=19.442392800000000,-99.202409399999960&zoom=16&markers=19.442392800000000,-99.202409399999960&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=YEzy6mumSV2Rd3uF1-oXF3UgFc8=&channel=rpfic-i24|19.4423928|-99.20240939999996
24|24||7900000|7900000|N/A||||Bosques de las Lomas| Cuajimalpa de Morelos|Bosque de las Lomas, Bosques de las Lomas, Cuajimalpa de Morelos||||Terraforma|https://www.inmuebles24.com/propiedades/nova-lifestyle-bosques-56703094.html|//maps.google.com/maps/api/staticmap?center=19.390416200000000,-99.255000300000000&zoom=16&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=i2h89PyIL6vcJUZbIiaVM1rYWMI=&channel=rpfic-i24|19.3904162|-99.2550003
25|25||4100000|4100000|N/A||||San Ángel| Alvaro Obregón|Boulevard Adolfo Lopez Mateos 1970 Los Alpes, San Ángel, Alvaro Obregón||||N/A|https://www.inmuebles24.com/propiedades/nova-san-angel-56173202.html|//maps.google.com/maps/api/staticmap?center=19.359719101777088,-99.192007320098870&zoom=16&markers=19.359719101777088,-99.192007320098870&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=0Pz4YaEfW8kovddyDnSKu7MOG2U=&channel=rpfic-i24|19.359719101777088|-99.19200732009888
26|26||2830000|2830000|N/A||||Granjas Navidad| Cuajimalpa de Morelos|16 DE DICIEMBRE 66, Granjas Navidad, Cuajimalpa de Morelos||||TuDepa.com|https://www.inmuebles24.com/propiedades/depas-en-pre-venta-colonia-granja-navidad-cuajimalpa-60570109.html|//maps.google.com/maps/api/staticmap?center=19.372797200000000,-99.282136999999990&zoom=16&markers=19.372797200000000,-99.282136999999990&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=-MQeR09dxgmCRLIrZ9R23pZELog=&channel=rpfic-i24|19.3727972|-99.282137
27|27||4980000|4980000|N/A||||Cuauhtémoc| Cuauhtémoc|RIO GUADALQUIVIR , Cuauhtémoc, Cuauhtémoc||||N/A|https://www.inmuebles24.com/propiedades/rio-guadalquivir-16-col.-cuauhtemoc-61788250.html|//maps.google.com/maps/api/staticmap?center=19.431440400000000,-99.171527000000000&zoom=16&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=FvS0SwOafzxMyEUdcDKNyDLZT7g=&channel=rpfic-i24|19.4314404|-99.171527
28|28||7500000|7500000|N/A||||Jardines del Pedregal| Alvaro Obregón|Periférico Sur 4271, Fuentes del Pedregal., Jardines del Pedregal, Alvaro Obregón||||ORIGINA MX|https://www.inmuebles24.com/propiedades/origina-pedregal-56650231.html|//maps.google.com/maps/api/staticmap?center=19.306093800000000,-99.208985500000000&zoom=16&markers=19.306093800000000,-99.208985500000000&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=SNeTrzdJhuRFTjGO7OuGPV-J7zU=&channel=rpfic-i24|19.3060938|-99.2089855
29|29|100000.0|30000000|30000000|N/A|1500.0|300.0|600.0| Lomas de Chapultepec| Miguel Hidalgo|Sierra Amatepec,  Lomas de Chapultepec, Miguel Hidalgo|4.0|3.0|2.0|9 SQUARE REAL STATE|https://www.inmuebles24.com/propiedades/casa-en-venta-en-lomas-de-chapultepec-57998625.html|//maps.google.com/maps/api/staticmap?center=19.420770199999999,-99.229922099999996&zoom=16&markers=19.420770199999999,-99.229922099999996&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=XjAptHM942XiE-27HM8Z4ZZEAoo=&channel=rpfic-i24|19.4207702|-99.2299221
30|30|28214.285714285714|1580000|1580000|N/A|500.0|56.0|56.0| Santo Domingo| Azcapotzalco|,  Santo Domingo, Azcapotzalco|2.0|1.0|1.0|Proyectamx|https://www.inmuebles24.com/propiedades/depto-1er-piso-cerca-metro-aquiles-serdan.-61023735.html|//maps.google.com/maps/api/staticmap?center=19.488708599999998,-99.190597400000001&zoom=16&markers=19.488708599999998,-99.190597400000001&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=o2Gf-BBKoQYj1Pwfga3WIlsp3rI=&channel=rpfic-i24|19.4887086|-99.1905974
31|31|115000.0|23000000|23000000|N/A||200.0|200.0| Polanco| Miguel Hidalgo|,  Polanco, Miguel Hidalgo|3.0|3.0|3.0|Lomeli Brokers|https://www.inmuebles24.com/propiedades/amplio-con-terraza-y-balcon-60499141.html|//maps.google.com/maps/api/staticmap?center=19.435091653200000,-99.203908443399996&zoom=16&markers=19.435091653200000,-99.203908443399996&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=0g1s2_6I1gJm3t8GCthqTzol9W8=&channel=rpfic-i24|19.4350916532|-99.2039084434
32|32|2285.714285714286|800000|15840000.0|N/A|12500.0|350.0|350.0| Bosque de las Lomas| Miguel Hidalgo|Residencial Bosque Alto, Departamento en Venta, Vista Panoramica (mc),  Bosque de las Lomas, Miguel Hidalgo|3.0|3.0|4.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/residencial-bosque-alto-departamento-en-venta-vista-61844815.html|//maps.google.com/maps/api/staticmap?center=19.392024831899998,-99.265059575099996&zoom=16&markers=19.392024831899998,-99.265059575099996&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=69ldSp8KCt3ncvqJH2iNwJRnV3A=&channel=rpfic-i24|19.3920248319|-99.2650595751
33|33|63333.333333333336|5700000|5700000|N/A|3500.0|90.0|90.0| Hipódromo Condesa| Cuauhtémoc|Baja Precio Condesa, Departamento Nuevo a la Venta en Residencial Soberana (lg),  Hipódromo Condesa, Cuauhtémoc|3.0|2.0|2.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/baja-precio-condesa-departamento-nuevo-a-la-venta-en-61967334.html|//maps.google.com/maps/api/staticmap?center=19.410016977800001,-99.167382551800002&zoom=16&markers=19.410016977800001,-99.167382551800002&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=KWmy3C8ehbZKOdGQMGuJlf0GzyY=&channel=rpfic-i24|19.4100169778|-99.1673825518
34|34|39365.079365079364|12400000|12400000|N/A|11000.0|315.0|| Bosques de las Lomas| Cuajimalpa de Morelos|EN Exclusiva Departamento en Bosque de las Lomas Baja Precio DE Venta  (dm),  Bosques de las Lomas, Cuajimalpa de Morelos|2.0|2.0|3.0|Diamond House Bienes Raices|https://www.inmuebles24.com/propiedades/en-exclusiva-departamento-en-bosque-de-las-lomas-baja-61848430.html|//maps.google.com/maps/api/staticmap?center=19.386070300000000,-99.255604599999998&zoom=16&markers=19.386070300000000,-99.255604599999998&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=tVyS1sq01KyT7GSnIy4Ucsrg15E=&channel=rpfic-i24|19.3860703|-99.2556046
35|35|28151.26050420168|3350000|3350000|N/A|1000.0|119.0|119.0| San Pedro de los Pinos| Benito Juárez|Calle 2,  San Pedro de los Pinos, Benito Juárez|2.0|2.0|1.0|N/A|https://www.inmuebles24.com/propiedades/hermoso-departamento-en-venta-en-san-pedro-de-los-61801541.html|//maps.google.com/maps/api/staticmap?center=19.392319400000001,-99.188260400000004&zoom=16&markers=19.392319400000001,-99.188260400000004&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=h7Y4CJIh7urMLJ2OwoK6rWc1nbU=&channel=rpfic-i24|19.3923194|-99.1882604
36|36|85714.28571428571|6000000|6000000|N/A||70.0|70.0| Ampliación Granada| Miguel Hidalgo|Lago Zurich 219,  Ampliación Granada, Miguel Hidalgo|1.0|1.0|1.0|N/A|https://www.inmuebles24.com/propiedades/plaza-carso-torre-claudel-remodelado-amueblado-de-60440232.html|//maps.google.com/maps/api/staticmap?center=19.441739988664335,-99.204542083605930&zoom=16&markers=19.441739988664335,-99.204542083605930&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=6MN1C0XFWPSQFB7wKH4nPzNHc6U=&channel=rpfic-i24|19.44173998866433|-99.20454208360592
37|37|23557.69230769231|9800000|9800000|N/A||416.0|273.0| San Jerónimo Lídice| La Magdalena Contreras|AV. SAN Jeronimo,  San Jerónimo Lídice, La Magdalena Contreras|3.0|2.0|4.0|N/A|https://www.inmuebles24.com/propiedades/casa-san-jeronimo-lidice-59715291.html|//maps.google.com/maps/api/staticmap?center=19.325034500000001,-99.223581999999993&zoom=16&markers=19.325034500000001,-99.223581999999993&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=Z99HeXnRxATDOLtjOZkjo26rVUM=&channel=rpfic-i24|19.3250345|-99.223582
38|38|41928.57142857143|58700000|58700000|N/A||1400.0|1090.0| Jardines del Pedregal| Alvaro Obregón|Brisa,  Jardines del Pedregal, Alvaro Obregón|4.0|6.0|10.0|N/A|https://www.inmuebles24.com/propiedades/casa-jardines-del-pedregal-61031807.html|//maps.google.com/maps/api/staticmap?center=19.329526800000000,-99.197299499999999&zoom=16&markers=19.329526800000000,-99.197299499999999&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=kUwivJBMNlYyF9ln6Fm2cO_VQvU=&channel=rpfic-i24|19.3295268|-99.19729950000001
39|39|54621.8487394958|6500000|6500000|N/A||119.0|119.0| La Otra Banda| Alvaro Obregón|Iglesia,  La Otra Banda, Alvaro Obregón|2.0|2.0|2.0|HÁBITAT SI |https://www.inmuebles24.com/propiedades/departamento-en-venta-en-be-grand-san-angel-60922909.html|//maps.google.com/maps/api/staticmap?center=19.337618800000001,-99.194379999999995&zoom=16&markers=19.337618800000001,-99.194379999999995&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=qO-9Ke0Xk_hK5-KiKDtTjdW6oS0=&channel=rpfic-i24|19.3376188|-99.19438
40|40|45294.117647058825|30800000|30800000|N/A|7000.0|680.0|680.0| Santa Fe La Loma| Alvaro Obregón|Av Bernanrdo Quintana,  Santa Fe La Loma, Alvaro Obregón|3.0|3.0|3.0|9 SQUARE REAL STATE|https://www.inmuebles24.com/propiedades/departamento-con-jardin-en-venta-en-condominio-el-60286534.html|//maps.google.com/maps/api/staticmap?center=19.365099699999998,-99.253268399999996&zoom=16&markers=19.365099699999998,-99.253268399999996&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=79NaPK17UAdx6tunkJlru-WsOLc=&channel=rpfic-i24|19.3650997|-99.2532684
41|41|43606.55737704918|13300000|13300000|N/A|11900.0|305.0|305.0| Bosques de las Lomas| Cuajimalpa de Morelos|Bosques de las Lomas, Departamento a la Venta en Privada de Tamarindos (gr),  Bosques de las Lomas, Cuajimalpa de Morelos|3.0|3.0|4.0|N/A|https://www.inmuebles24.com/propiedades/bosques-de-las-lomas-departamento-a-la-venta-en-61967270.html|//maps.google.com/maps/api/staticmap?center=19.385879040500000,-99.253330300000001&zoom=16&markers=19.385879040500000,-99.253330300000001&key=AIzaSyBfTOxuYEmbL50_1P4KU8GI8toKT539agI&size=780x456&sensor=true&scale=2&signature=zRojmgzUKcobEt5FRgwHirz0AXE=&channel=rpfic-i24|19.3858790405|-99.2533303
